time,x,y,yaw,goal_x,goal_y,goal_yaw,distance_to_goal,yaw_error_to_goal,path_length,front_distance,bt_state,recovery_phase
1779440706.3412204,9.23276670474517,-1.766992477374102,1.0012069948802056,10.0,-2.0,0.0,0.8018350422299108,-1.0012069948802056,43,1.2075328826904297,FOLLOW_PATH_LOS,IDLE
1779440706.4412136,9.232765753395437,-1.7669927682796787,0.9212071741285301,10.0,-2.0,0.0,0.801835867990974,-0.9212071741285301,43,1.1672698259353638,FOLLOW_PATH_LOS,IDLE
1779440706.541219,9.232764841515829,-1.7669929689157533,0.841207356938027,10.0,-2.0,0.0,0.8018366822170997,-0.841207356938027,43,1.1367844343185425,FOLLOW_PATH_LOS,IDLE
1779440706.6412277,9.232763973324897,-1.766993088070459,0.7612075426623992,10.0,-2.0,0.0,0.8018374783178578,-0.7612075426623992,43,1.1151492595672607,FOLLOW_PATH_LOS,IDLE
1779440706.7412987,9.23276315211257,-1.7669931342805711,0.681207730673505,10.0,-2.0,0.0,0.8018382506644538,-0.681207730673505,43,1.1017746925354004,FOLLOW_PATH_LOS,IDLE
1779440706.841304,9.232762380318503,-1.7669931157783332,0.6012079204849288,10.0,-2.0,0.0,0.8018389945302102,-0.6012079204849288,43,1.0951173305511475,FOLLOW_PATH_LOS,IDLE
1779440706.9414668,9.232761659609395,-1.7669930404475491,0.5212081118920322,10.0,-2.0,0.0,0.8018397060293334,-0.5212081118920322,43,1.0898935794830322,FOLLOW_PATH_LOS,IDLE
1779440707.04129,9.232760990954644,-1.7669929157882633,0.4412083051716067,10.0,-2.0,0.0,0.8018403820547803,-0.4412083051716067,43,1.0855761766433716,FOLLOW_PATH_LOS,IDLE
1779440707.1415274,9.232760374699831,-1.766992748889353,0.3612085014007987,10.0,-2.0,0.0,0.8018410202159052,-0.36120850140079874,43,1.0821723937988281,FOLLOW_PATH_LOS,IDLE
1779440707.2412834,9.233298350148402,-1.766781529995279,0.28084652771324364,10.0,-2.0,0.0,0.8013877180469544,-0.28084652771324364,43,1.079718828201294,FOLLOW_PATH_LOS,IDLE
1779440707.3413036,9.236801712265576,-1.7658535211088555,0.20076422794095053,10.0,-2.0,0.0,0.7983083364076049,-0.20076422794095053,43,1.07468843460083,FOLLOW_PATH_LOS,IDLE
1779440707.441206,9.242148066933984,-1.764974183565621,0.12104527122106212,10.0,-2.0,0.0,0.7934586862858984,-0.12104527122106212,43,1.0681312084197998,FOLLOW_PATH_LOS,IDLE
1779440707.5412514,9.24477792911595,-1.7648087485885149,0.04231670695572154,10.0,-2.0,0.0,0.7909963976472296,-0.04231670695572154,43,1.065211296081543,FOLLOW_PATH_LOS,IDLE
1779440707.6412523,9.24503978940896,-1.7648323644789794,-0.03205525168814605,10.0,-2.0,0.0,0.7907393605811054,0.03205525168814605,43,1.0652153491973877,FOLLOW_PATH_LOS,IDLE
1779440707.7412987,9.245038278852235,-1.764830994137037,-0.10793271053471097,10.0,-2.0,0.0,0.7907412103317814,0.10793271053471096,43,1.0651997327804565,FOLLOW_PATH_LOS,IDLE
1779440707.8413184,9.24503696767716,-1.7648296024580004,-0.18752422686073977,10.0,-2.0,0.0,0.7907428760691803,0.18752422686073977,43,1.0650159120559692,FOLLOW_PATH_LOS,IDLE
1779440707.9412465,9.24503584537097,-1.7648282004698894,-0.2675240118219384,10.0,-2.0,0.0,0.7907443645508689,0.2675240118219384,43,1.065199613571167,FOLLOW_PATH_LOS,IDLE
1779440708.0413241,9.2450349005753,-1.7648268030002883,-0.34752380676072464,10.0,-2.0,0.0,0.7907456822116781,0.34752380676072464,43,1.066359281539917,FOLLOW_PATH_LOS,IDLE
1779440708.1413345,9.245034121516664,-1.7648254232438179,-0.42752360678265283,10.0,-2.0,0.0,0.7907468363683569,0.42752360678265283,43,1.0684822797775269,FOLLOW_PATH_LOS,IDLE
1779440708.2413802,9.245033496191702,-1.7648240726437023,-0.5075234089747829,10.0,-2.0,0.0,0.7907478350779211,0.5075234089747829,43,1.0715559720993042,FOLLOW_PATH_LOS,IDLE
1779440708.3412666,9.245033012512623,-1.764822760989332,-0.5875232118272344,10.0,-2.0,0.0,0.7907486869697893,0.5875232118272344,43,1.0755600929260254,FOLLOW_PATH_LOS,IDLE
1779440708.4412744,9.245032658436408,-1.7648214965183506,-0.667523014670908,10.0,-2.0,0.0,0.790749401092069,0.667523014670908,43,1.0804606676101685,FOLLOW_PATH_LOS,IDLE
1779440708.5412486,9.245032422078133,-1.7648202860216327,-0.7475228173109194,10.0,-2.0,0.0,0.7907499867721514,0.7475228173109194,43,1.0862622261047363,FOLLOW_PATH_LOS,IDLE
1779440708.6412976,9.245032291809096,-1.764819134949789,-0.8275226197919664,10.0,-2.0,0.0,0.7907504534913599,0.8275226197919664,43,1.0969114303588867,FOLLOW_PATH_LOS,IDLE
1779440708.7412632,9.245032256340716,-1.7648180475199942,-0.9075224222307714,10.0,-2.0,0.0,0.7907508107730894,0.9075224222307714,43,1.115610122680664,FOLLOW_PATH_LOS,IDLE
1779440708.841227,9.245032304795009,-1.7648170268220575,-0.9875222246681141,10.0,-2.0,0.0,0.7907510680839787,0.9875222246681141,43,1.1428323984146118,FOLLOW_PATH_LOS,IDLE
1779440708.9412484,9.245032426762645,-1.7648160749228357,-1.0675220269007397,10.0,-2.0,0.0,0.7907512347474409,1.0675220269007397,43,1.179394245147705,FOLLOW_PATH_LOS,IDLE
1779440709.0412555,9.24503261234942,-1.7648151929681386,-1.1475218282457036,10.0,-2.0,0.0,0.790751319868994,1.1475218282457036,43,1.2264723777770996,FOLLOW_PATH_LOS,IDLE
1779440709.1412675,9.245032852212097,-1.764814381281446,-1.227521627172219,10.0,-2.0,0.0,0.790751332272688,1.227521627172219,43,1.285705804824829,FOLLOW_PATH_LOS,IDLE
1779440709.241329,9.24503313758459,-1.7648136394588767,-1.3075214207362988,10.0,-2.0,0.0,0.790751280447871,1.3075214207362988,43,1.359399676322937,FOLLOW_PATH_LOS,IDLE
1779440709.34131,9.24503346029534,-1.7648129664599337,-1.3875212039950564,10.0,-2.0,0.0,0.7907511725056139,1.3875212039950564,43,1.4507620334625244,FOLLOW_PATH_LOS,IDLE
1779440709.4412112,9.245033812776835,-1.7648123606939505,-1.4675209445809578,10.0,-2.0,0.0,0.7907510161439154,1.4675209445809578,43,1.5642647743225098,FOLLOW_PATH_LOS,IDLE
1779440709.5413172,9.245034187964198,-1.7648118201081804,-1.5467939369626424,10.0,-2.0,0.0,0.7907508187183278,1.5467939369626424,43,1.706381916999817,FOLLOW_PATH_LOS,IDLE
1779440709.6412678,9.24505671508177,-1.7653895629537546,-1.6252350512931906,10.0,-2.0,0.0,0.7905576643194084,1.6252350512931906,43,1.8810259103775024,FOLLOW_PATH_LOS,IDLE
